movieid,Total_number_of_Users,Total_ratings,Average_ratings
1205,231,781.0,3.38
1206,1229,5012.0,4.08
1207,928,4107.0,4.43
1208,1176,4990.0,4.24
1209,173,696.0,4.02
1210,2883,11598.0,4.02
1211,242,995.0,4.11
1212,480,2137.0,4.45
1213,1657,7084.0,4.28
1214,2024,8419.0,4.16
1215,945,3595.0,3.80
1216,87,318.0,3.66
1217,357,1524.0,4.27
1218,244,1024.0,4.20
1219,1263,5328.0,4.22
1220,1341,5283.0,3.94
1221,1692,7373.0,4.36
1222,1254,5155.0,4.11
1223,473,2063.0,4.36
1224,426,1826.0,4.29
1225,1382,5876.0,4.25
1226,226,916.0,4.05
1227,241,931.0,3.86
1228,677,2835.0,4.19
1230,1334,5525.0,4.14
1231,750,3060.0,4.08
1232,52,189.0,3.63
1233,1001,4307.0,4.30
1234,1049,4532.0,4.32
1235,697,2903.0,4.16
1236,90,377.0,4.19
1237,299,1265.0,4.23
1238,351,1404.0,4.00
1240,2098,8711.0,4.15
1241,70,235.0,3.36
1242,1112,4663.0,4.19
1243,325,1295.0,3.98
1244,718,2931.0,4.08
1245,358,1434.0,4.01
1246,855,3425.0,4.01
1247,1261,5354.0,4.25
1248,514,2167.0,4.22
1249,733,2936.0,4.01
1250,938,4115.0,4.39
1251,228,936.0,4.11
1252,1185,5142.0,4.34
1253,559,2315.0,4.14
1254,453,1943.0,4.29
1255,54,184.0,3.41
1256,594,2501.0,4.21
1257,472,1851.0,3.92
1258,1087,4462.0,4.10
1259,1785,7313.0,4.10
1260,308,1325.0,4.30
1261,548,2097.0,3.83
1262,696,3046.0,4.38
1263,700,2877.0,4.11
1264,257,1042.0,4.05
1265,2278,9005.0,3.95
1266,997,4078.0,4.09
1267,765,3315.0,4.33
1268,317,1105.0,3.49
1269,672,2801.0,4.17
1270,2583,10307.0,3.99
1271,593,2257.0,3.81
1272,645,2752.0,4.27
1273,146,579.0,3.97
1274,452,1778.0,3.93
1275,741,2850.0,3.85
1276,930,3956.0,4.25
1277,363,1410.0,3.88
1278,1193,5071.0,4.25
1279,194,727.0,3.75
1280,277,1156.0,4.17
1281,216,871.0,4.03
1282,943,3682.0,3.90
1283,403,1684.0,4.18
1284,541,2333.0,4.31
1285,803,3064.0,3.82
1286,285,1022.0,3.59
1287,704,2894.0,4.11
1288,1118,4673.0,4.18
1289,182,723.0,3.97
1290,230,826.0,3.59
1291,1628,6729.0,4.13
1292,591,2372.0,4.01
1293,671,2779.0,4.14
1294,1099,4533.0,4.12
1295,266,949.0,3.57
1296,560,2238.0,4.00
1297,442,1639.0,3.71
1298,387,1409.0,3.64
1299,732,3110.0,4.25
1300,330,1368.0,4.15
1301,373,1483.0,3.98
1302,768,3004.0,3.91
1303,310,1280.0,4.13
1304,1419,5982.0,4.22
1305,121,459.0,3.79
1306,136,490.0,3.60
1307,1568,6387.0,4.07
1310,43,153.0,3.56
1311,7,7.0,1.00
1312,29,94.0,3.24
1313,13,28.0,2.15
1315,3,7.0,2.33
1316,1,4.0,4.00
1317,40,127.0,3.18
1320,925,2810.0,3.04
1321,549,2060.0,3.75
1322,32,55.0,1.72
1323,43,59.0,1.37
1324,22,37.0,1.68
1325,23,38.0,1.65
1326,56,118.0,2.11
1327,355,1043.0,2.94
1328,25,46.0,1.84
1329,36,96.0,2.67
1330,116,348.0,3.00
1331,50,159.0,3.18
1332,102,297.0,2.91
1333,733,2846.0,3.88
1334,338,1060.0,3.14
1335,21,36.0,1.71
1336,55,123.0,2.24
1337,64,228.0,3.56
1339,672,2247.0,3.34
1340,216,845.0,3.91
1341,53,151.0,2.85
1342,262,761.0,2.90
1343,687,2522.0,3.67
1344,361,1416.0,3.92
1345,567,2044.0,3.60
1346,174,554.0,3.18
1347,451,1572.0,3.49
1348,238,950.0,3.99
1349,14,43.0,3.07
1350,409,1482.0,3.62
1351,35,119.0,3.40
1352,94,268.0,2.85
1353,188,580.0,3.09
1354,267,1021.0,3.82
1355,77,228.0,2.96
1356,1310,4859.0,3.71
1357,548,2086.0,3.81
1358,1177,4953.0,4.21
1359,222,550.0,2.48
1360,2,7.0,3.50
1361,159,670.0,4.21
1362,100,403.0,4.03
1363,112,333.0,2.97
1364,2,7.0,3.50
1365,58,223.0,3.84
1366,108,344.0,3.19
1367,364,1109.0,3.05
1369,5,19.0,3.80
1370,1135,4020.0,3.54
1371,792,2484.0,3.14
1372,1001,3413.0,3.41
1373,613,1685.0,2.75
1374,1448,5619.0,3.88
1375,927,3109.0,3.35
1376,1126,4117.0,3.66
1377,1031,3069.0,2.98
1378,562,1921.0,3.42
1379,369,1073.0,2.91
1380,817,2923.0,3.58
1381,303,595.0,1.96
1382,127,353.0,2.78
1383,11,17.0,1.55
1384,6,23.0,3.83
1385,461,1507.0,3.27
1386,1,1.0,1.00
1387,1697,6940.0,4.09
1388,370,958.0,2.59
1389,210,389.0,1.85
1390,121,387.0,3.20
1391,1074,3115.0,2.90
1392,219,819.0,3.74
1393,1353,5086.0,3.76
1394,1434,5766.0,4.02
1395,295,981.0,3.33
1396,1091,4067.0,3.73
1397,63,230.0,3.65
1398,63,201.0,3.19
1399,104,333.0,3.20
1401,162,568.0,3.51
1404,76,239.0,3.14
1405,475,1444.0,3.04
1406,24,83.0,3.46
1407,886,3168.0,3.58
1408,975,3718.0,3.81
1409,392,1197.0,3.05
1410,90,258.0,2.87
1411,382,1512.0,3.96
1412,20,78.0,3.90
1413,50,169.0,3.38
1414,168,604.0,3.60
1415,36,128.0,3.56
1416,282,918.0,3.26
1417,43,119.0,2.77
1419,136,539.0,3.96
1420,7,28.0,4.00
1421,22,67.0,3.05
1422,281,850.0,3.02
1423,14,61.0,4.36
1425,168,553.0,3.29
1426,23,58.0,2.52
1427,51,117.0,2.29
1428,52,169.0,3.25
1429,297,982.0,3.31
1430,1,1.0,1.00
1431,232,591.0,2.55
1432,100,277.0,2.77
1433,5,9.0,1.80
1434,2,8.0,4.00
1436,9,26.0,2.89
1437,21,65.0,3.10
1438,321,904.0,2.82
1439,46,108.0,2.35
1440,81,224.0,2.77
1441,481,1657.0,3.44
1442,71,220.0,3.10
1444,8,27.0,3.38
1445,156,339.0,2.17
1446,189,766.0,4.05
1447,49,165.0,3.37
1449,462,1916.0,4.15
1450,14,53.0,3.79
1453,148,360.0,2.43
1454,82,259.0,3.16
1455,22,61.0,2.77
1456,64,151.0,2.36
1457,266,827.0,3.11
1458,24,68.0,2.83
1459,380,1276.0,3.36
1460,94,252.0,2.68
1461,216,556.0,2.57
1463,34,103.0,3.03
1464,145,486.0,3.35
1465,126,440.0,3.49
1466,719,2729.0,3.80
1468,144,369.0,2.56
1470,1,4.0,4.00
1471,5,17.0,3.40
1472,48,156.0,3.25
1473,40,113.0,2.83
1474,146,341.0,2.34
1475,81,255.0,3.15
1476,499,1740.0,3.49
1477,27,93.0,3.44
1479,563,1800.0,3.20
1480,265,869.0,3.28
1482,63,210.0,3.33
1483,141,389.0,2.76
1484,124,459.0,3.70
1485,666,2331.0,3.50
1486,7,22.0,3.14
1487,162,497.0,3.07
1488,288,823.0,2.86
1489,37,95.0,2.57
1490,26,47.0,1.81
1493,17,56.0,3.29
1494,19,47.0,2.47
1495,44,58.0,1.32
1496,25,79.0,3.16
1497,48,100.0,2.08
1498,131,411.0,3.14
1499,399,878.0,2.20
1500,1136,4332.0,3.81
1501,18,47.0,2.61
1502,13,40.0,3.08
1503,145,336.0,2.32
1504,16,56.0,3.50
1507,42,140.0,3.33
1508,36,119.0,3.31
1509,21,77.0,3.67
1510,2,5.0,2.50
1511,24,86.0,3.58
1513,755,2300.0,3.05
1514,7,19.0,2.71
1515,181,463.0,2.56
1516,52,190.0,3.65
1517,1205,4471.0,3.71
1518,354,1211.0,3.42
1519,6,20.0,3.33
1520,15,37.0,2.47
1522,7,17.0,2.43
1523,57,150.0,2.63
1525,44,92.0,2.09
1526,88,217.0,2.47
1527,1377,5013.0,3.64
1528,2,4.0,2.00
1529,31,100.0,3.23
1531,11,40.0,3.64
1532,6,16.0,2.67
1533,24,93.0,3.88
1534,6,22.0,3.67
1535,103,359.0,3.49
1537,350,1448.0,4.14
1538,6,10.0,1.67
1539,11,31.0,2.82
1541,240,744.0,3.10
1542,238,843.0,3.54
1543,7,23.0,3.29
1544,1255,3811.0,3.04
1545,73,297.0,4.07
1546,49,187.0,3.82
1547,37,123.0,3.32
1548,2,5.0,2.50
1549,19,51.0,2.68
1550,71,192.0,2.70
1551,36,102.0,2.83
1552,954,3116.0,3.27
1553,4,11.0,2.75
1554,138,480.0,3.48
1555,2,6.0,3.00
1556,367,687.0,1.87
1558,2,3.0,1.50
1561,4,13.0,3.25
1562,606,1368.0,2.26
1563,40,144.0,3.60
1564,36,138.0,3.83
1565,17,51.0,3.00
1566,469,1538.0,3.28
1567,9,31.0,3.44
1569,820,2811.0,3.43
1570,23,76.0,3.30
1571,45,178.0,3.96
1572,26,97.0,3.73
1573,1421,4833.0,3.40
1574,15,43.0,2.87
1575,14,44.0,3.14
1579,1,3.0,3.00
1580,2538,9492.0,3.74
1581,59,168.0,2.85
1582,60,190.0,3.17
1583,27,75.0,2.78
1584,1382,5208.0,3.77
1585,28,90.0,3.21
1586,557,1700.0,3.05
1587,572,1957.0,3.42
1588,289,891.0,3.08
1589,492,1653.0,3.36
1590,498,1254.0,2.52
1591,475,1245.0,2.62
1592,112,279.0,2.49
1593,162,464.0,2.86
1594,307,1160.0,3.78
1595,65,113.0,1.74
1596,32,111.0,3.47
1597,811,2762.0,3.41
1598,111,301.0,2.71
1599,67,110.0,1.64
1600,84,241.0,2.87
1601,75,204.0,2.72
1602,43,91.0,2.12
1603,348,1018.0,2.93
1604,65,179.0,2.75
1605,88,234.0,2.66
1606,109,255.0,2.34
1608,1076,3861.0,3.59
1609,55,151.0,2.75
1610,1652,6694.0,4.05
1611,236,791.0,3.35
1612,55,183.0,3.33
1613,30,87.0,2.90
1614,428,1404.0,3.28
1615,227,822.0,3.62
1616,395,1222.0,3.09
1617,2288,9654.0,4.22
1619,362,1241.0,3.43
1620,395,1318.0,3.34
1621,85,279.0,3.28
1622,5,12.0,2.40
1623,128,283.0,2.21
1624,50,136.0,2.72
1625,882,3452.0,3.91
1626,81,204.0,2.52
1627,250,769.0,3.08
1629,109,329.0,3.02
1630,1,2.0,2.00
1631,49,176.0,3.59
1632,20,49.0,2.45
1633,266,974.0,3.66
1635,507,1927.0,3.80
1636,5,12.0,2.40
1639,966,3650.0,3.78
1640,84,213.0,2.54
1641,1199,4643.0,3.87
1642,74,226.0,3.05
1643,265,1027.0,3.88
1644,475,1250.0,2.63
1645,826,2838.0,3.44
1646,88,248.0,2.82
1647,90,259.0,2.88
1648,194,674.0,3.47
1649,189,728.0,3.85
1650,50,167.0,3.34
1651,17,49.0,2.88
1652,4,13.0,3.25
1653,1077,3997.0,3.71
1654,87,288.0,3.31
1655,77,187.0,2.43
1656,14,45.0,3.21
1657,20,70.0,3.50
1658,116,368.0,3.17
1659,7,20.0,2.86
1660,179,639.0,3.57
1661,88,281.0,3.19
1662,20,53.0,2.65
1663,740,2841.0,3.84
1664,5,21.0,4.20
1665,200,537.0,2.69
1666,20,52.0,2.60
1667,113,314.0,2.78
1668,39,99.0,2.54
1669,37,128.0,3.46
1670,82,287.0,3.50
1671,22,70.0,3.18
1672,321,1146.0,3.57
1673,1128,4252.0,3.77
1674,1046,4180.0,4.00
1675,11,34.0,3.09
1676,1163,3644.0,3.13
1677,37,102.0,2.76
1678,474,1815.0,3.83
1679,24,47.0,1.96
1680,464,1759.0,3.79
1681,134,292.0,2.18
1682,1005,3881.0,3.86
1683,218,820.0,3.76
1684,58,216.0,3.72
1685,6,21.0,3.50
1686,109,344.0,3.16
1687,337,1037.0,3.08
1688,304,1065.0,3.50
1689,252,795.0,3.15
1690,779,2305.0,2.96
1692,20,51.0,2.55
1693,351,1305.0,3.72
1694,471,1755.0,3.73
1695,32,118.0,3.69
1696,28,100.0,3.57
1699,155,543.0,3.50
1701,284,970.0,3.42
1702,302,771.0,2.55
1703,62,182.0,2.94
1704,1548,6465.0,4.18
1707,154,289.0,1.88
1709,1,2.0,2.00
1711,628,2043.0,3.25
1713,231,703.0,3.04
1714,1,2.0,2.00
1715,13,39.0,3.00
1717,455,1354.0,2.98
1718,7,18.0,2.57
1719,381,1541.0,4.04
1720,7,9.0,1.29
1721,1546,5540.0,3.58
1722,862,2967.0,3.44
1724,1,3.0,3.00
1725,23,86.0,3.74
1726,137,380.0,2.77
1727,210,678.0,3.23
1728,22,73.0,3.32
1729,724,2671.0,3.69
1730,176,656.0,3.73
1731,64,120.0,1.88
1732,1097,4101.0,3.74
1733,82,255.0,3.11
1734,201,769.0,3.83
1735,263,842.0,3.20
1739,47,64.0,1.36
1741,5,20.0,4.00
1743,11,43.0,3.91
1744,77,206.0,2.68
1746,55,152.0,2.76
1747,907,3165.0,3.49
1748,874,3341.0,3.82
1749,10,34.0,3.40
1750,63,138.0,2.19
1752,206,547.0,2.66
1753,198,634.0,3.20
1754,388,1314.0,3.39
1755,30,106.0,3.53
1756,51,130.0,2.55
1758,100,365.0,3.65
1759,51,203.0,3.98
1760,190,356.0,1.87
1762,227,621.0,2.74
1764,1,3.0,3.00
1767,26,78.0,3.00
1769,319,1001.0,3.14
1770,19,66.0,3.47
1771,47,124.0,2.64
1772,230,559.0,2.43
1773,2,5.0,2.50
1777,909,3172.0,3.49
1779,541,1441.0,2.66
1780,8,33.0,4.13
1782,8,20.0,2.50
1783,220,644.0,2.93
1784,1424,5625.0,3.95
1785,180,610.0,3.39
1787,2,7.0,3.50
1788,91,360.0,3.96
1791,53,157.0,2.96
1792,448,1421.0,3.17
1793,13,31.0,2.38
1794,151,518.0,3.43
1795,2,9.0,4.50
1796,5,12.0,2.40
1797,167,669.0,4.01
1798,42,108.0,2.57
1799,213,727.0,3.41
1801,391,1190.0,3.04
1804,119,361.0,3.03
1805,626,2157.0,3.45
1806,168,486.0,2.89
1807,17,58.0,3.41
1809,36,137.0,3.81
1810,353,1256.0,3.56
1811,13,48.0,3.69
1812,44,153.0,3.48
1814,25,84.0,3.36
1815,1,2.0,2.00
1816,101,299.0,2.96
1817,12,36.0,3.00
1820,1,2.0,2.00
1821,211,674.0,3.19
1822,21,43.0,2.05
1824,104,350.0,3.37
1825,33,88.0,2.67
1826,40,62.0,1.55
1827,102,408.0,4.00
1829,37,111.0,3.00
1830,1,5.0,5.00
1831,667,1724.0,2.58
1832,1,4.0,4.00
1833,264,793.0,3.00
1834,493,1942.0,3.94
1835,366,1204.0,3.29
1836,135,447.0,3.31
1837,64,172.0,2.69
1839,69,156.0,2.26
1840,160,541.0,3.38
1841,95,280.0,2.95
1842,2,8.0,4.00
1843,1,3.0,3.00
1844,29,112.0,3.86
1845,301,1129.0,3.75
1846,20,65.0,3.25
1848,177,539.0,3.05
1849,7,18.0,2.57
1850,13,37.0,2.85
1851,2,8.0,4.00
1852,1,2.0,2.00
1853,17,34.0,2.00
1854,48,145.0,3.02
1855,108,259.0,2.40
1856,72,220.0,3.06
1857,24,74.0,3.08
1858,172,562.0,3.27
1859,32,113.0,3.53
1860,44,166.0,3.77
1861,3,10.0,3.33
1862,198,406.0,2.05
1863,142,315.0,2.22
1864,11,30.0,2.73
1865,54,192.0,3.56
1866,189,584.0,3.09
1867,38,92.0,2.42
1868,2,4.0,2.00
1869,51,118.0,2.31
1870,72,253.0,3.51
1871,4,16.0,4.00
1872,10,32.0,3.20
1873,259,974.0,3.76
1874,27,91.0,3.37
1875,164,558.0,3.40
1876,895,2834.0,3.17
1877,4,10.0,2.50
1878,11,22.0,2.00
1879,22,86.0,3.91
1880,26,89.0,3.42
1881,68,189.0,2.78
1882,499,1160.0,2.32
1883,664,2281.0,3.44
1884,298,997.0,3.35
1885,608,2245.0,3.69
1886,4,11.0,2.75
1887,60,149.0,2.48
1888,387,1159.0,2.99
1889,49,190.0,3.88
1890,7,17.0,2.43
1891,9,17.0,1.89
1892,401,1352.0,3.37
1893,21,79.0,3.76
1894,471,1371.0,2.91
1895,306,991.0,3.24
1896,47,146.0,3.11
1897,133,466.0,3.50
1898,14,51.0,3.64
1899,10,32.0,3.20
1900,61,254.0,4.16
1901,5,20.0,4.00
1902,30,93.0,3.10
1903,6,20.0,3.33
1904,113,394.0,3.49
1905,2,3.0,1.50
1906,32,103.0,3.22
1907,490,1834.0,3.74
1908,1,3.0,3.00
1909,996,3479.0,3.49
1910,41,154.0,3.76
1911,527,1544.0,2.93
1912,908,3448.0,3.80
1913,167,639.0,3.83
1914,372,1417.0,3.81
1915,1,4.0,4.00
1916,354,1241.0,3.51
1917,1110,3543.0,3.19
1918,669,2101.0,3.14
1919,116,368.0,3.17
1920,364,1023.0,2.81
1921,613,2324.0,3.79
1922,52,178.0,3.42
1923,1371,5353.0,3.90
1924,249,656.0,2.63
1925,45,175.0,3.89
1926,32,102.0,3.19
1927,268,1124.0,4.19
1928,29,98.0,3.38
1929,84,318.0,3.79
1930,5,15.0,3.00
1931,225,907.0,4.03
1932,36,118.0,3.28
1933,21,71.0,3.38
1934,77,309.0,4.01
1935,107,431.0,4.03
1936,82,318.0,3.88
1937,63,235.0,3.73
1938,122,477.0,3.91
1939,236,973.0,4.12
1940,91,354.0,3.89
1941,113,430.0,3.81
1942,119,480.0,4.03
1943,61,200.0,3.28
1944,364,1491.0,4.10
1945,519,2216.0,4.27
1946,205,815.0,3.98
1947,761,3088.0,4.06
1948,198,764.0,3.86
1949,219,927.0,4.23
1950,348,1437.0,4.13
1951,213,787.0,3.69
1952,663,2727.0,4.11
1953,861,3529.0,4.10
1954,1129,4452.0,3.94
1955,452,1716.0,3.80
1956,507,2023.0,3.99
1957,634,2407.0,3.80
1958,530,1912.0,3.61
1959,626,2287.0,3.65
1960,636,2529.0,3.98
1961,1330,5391.0,4.05
1962,652,2528.0,3.88
1963,252,1021.0,4.05
1964,302,1150.0,3.81
1965,751,2766.0,3.68
1966,198,722.0,3.65
1967,554,2015.0,3.64
1968,1539,5971.0,3.88
1969,274,636.0,2.32
1970,268,708.0,2.64
1971,242,542.0,2.24
1972,200,399.0,2.00
1973,215,469.0,2.18
1974,317,964.0,3.04
1975,171,415.0,2.43
1976,199,394.0,1.98
1977,169,368.0,2.18
1978,114,237.0,2.08
1979,112,244.0,2.18
1980,91,196.0,2.15
1981,99,182.0,1.84
1982,506,1879.0,3.71
1983,195,537.0,2.75
1984,105,220.0,2.10
1985,129,311.0,2.41
1986,127,270.0,2.13
1987,91,212.0,2.33
1988,51,107.0,2.10
1989,15,22.0,1.47
1990,16,27.0,1.69
1991,239,646.0,2.70
1992,133,281.0,2.11
1993,97,184.0,1.90
1994,795,2929.0,3.68
1995,182,441.0,2.42
1996,112,205.0,1.83
1997,885,3501.0,3.96
1998,113,200.0,1.77
1999,127,349.0,2.75
2000,1627,6324.0,3.89
2001,1011,3584.0,3.55
2002,802,2610.0,3.25
2003,776,2536.0,3.27
2004,372,935.0,2.51
2005,716,2504.0,3.50
2006,983,3501.0,3.56
2007,65,174.0,2.68
2008,15,38.0,2.53
2009,422,1485.0,3.52
2010,388,1584.0,4.08
2011,1158,3872.0,3.34
2012,1148,3722.0,3.24
2013,622,2149.0,3.45
2014,180,572.0,3.18
2015,380,1312.0,3.45
2016,109,290.0,2.66
2017,162,484.0,2.99
2018,589,2202.0,3.74
2019,628,2864.0,4.56
2020,773,3070.0,3.97
2021,789,2648.0,3.36
2022,254,897.0,3.53
2023,774,2589.0,3.34
2024,148,491.0,3.32
2025,221,739.0,3.34
2026,161,433.0,2.69
2027,129,316.0,2.45
2028,2653,11507.0,4.34
2029,76,279.0,3.67
2031,37,112.0,3.03
2032,40,117.0,2.93
2033,200,633.0,3.17
2034,295,818.0,2.77
2035,57,177.0,3.11
2036,96,213.0,2.22
2037,54,191.0,3.54
2038,198,575.0,2.90
2039,1,1.0,1.00
2040,128,377.0,2.95
2041,145,387.0,2.67
2042,193,508.0,2.63
2043,158,517.0,3.27
2044,52,132.0,2.54
2045,55,190.0,3.45
2046,536,1858.0,3.47
2047,22,70.0,3.18
2048,131,458.0,3.50
2049,37,123.0,3.32
2050,104,264.0,2.54
2051,101,258.0,2.55
2052,183,525.0,2.87
2053,381,860.0,2.26
2054,1045,3065.0,2.93
2055,42,119.0,2.83
2056,18,63.0,3.50
2057,91,304.0,3.34
2058,799,2883.0,3.61
2059,268,880.0,3.28
2060,183,548.0,2.99
2061,7,25.0,3.57
2062,70,224.0,3.20
2063,8,20.0,2.50
2064,798,3251.0,4.07
2065,479,1724.0,3.60
2066,106,440.0,4.15
2067,564,2293.0,4.07
2068,128,497.0,3.88
2069,140,530.0,3.79
2070,264,1031.0,3.91
2071,171,672.0,3.93
2072,303,882.0,2.91
2073,66,242.0,3.67
2074,21,74.0,3.52
2075,81,303.0,3.74
2076,654,2461.0,3.76
2077,154,538.0,3.49
2078,664,2534.0,3.82
2079,14,50.0,3.57
2080,864,3287.0,3.80
2081,1035,3888.0,3.76
2082,361,1042.0,2.89
2083,262,945.0,3.61
2084,93,291.0,3.13
2085,565,2032.0,3.60
2086,29,103.0,3.55
2087,594,2174.0,3.66
2088,471,1222.0,2.59
2089,239,764.0,3.20
2090,249,865.0,3.47
2091,186,530.0,2.85
2092,163,397.0,2.44
2093,276,787.0,2.85
2094,736,2288.0,3.11
2095,113,336.0,2.97
2096,511,1896.0,3.71
2097,213,743.0,3.49
2098,76,239.0,3.14
2099,221,796.0,3.60
2100,1163,3990.0,3.43
2101,15,53.0,3.53
2102,197,667.0,3.39
2103,37,114.0,3.08
2104,53,177.0,3.34
2105,970,3255.0,3.36
2106,185,610.0,3.30
2107,199,535.0,2.69
2108,825,3058.0,3.71
2109,573,2145.0,3.74
2110,367,1198.0,3.26
2111,312,1007.0,3.23
2112,346,1207.0,3.49
2113,79,170.0,2.15
2114,256,944.0,3.69
2115,1127,4143.0,3.68
2116,438,1460.0,3.33
2117,278,1034.0,3.72
2118,363,1344.0,3.70
2119,147,334.0,2.27
2120,242,712.0,2.94
2121,245,669.0,2.73
2122,233,570.0,2.45
2123,215,617.0,2.87
2124,714,2263.0,3.17
2125,416,1545.0,3.71
2126,495,1359.0,2.75
2127,4,14.0,3.50
2128,25,83.0,3.32
2129,8,30.0,3.75
2130,304,1165.0,3.83
2131,30,112.0,3.73
2132,297,1210.0,4.07
2133,541,1772.0,3.28
2134,510,1746.0,3.42
2135,238,762.0,3.20
2136,222,699.0,3.15
2137,497,1900.0,3.82
2138,305,1172.0,3.84
2139,369,1421.0,3.85
2140,710,2593.0,3.65
2141,404,1385.0,3.43
2142,201,569.0,2.83
2143,355,1161.0,3.27
2144,719,2668.0,3.71
2145,693,2333.0,3.37
2146,352,1095.0,3.11
2147,231,589.0,2.55
2148,166,479.0,2.89
2149,103,232.0,2.25
2150,695,2590.0,3.73
2151,128,406.0,3.17
2152,69,146.0,2.12
2153,288,575.0,2.00
2154,140,390.0,2.79
2155,267,885.0,3.31
2156,9,34.0,3.78
2157,20,65.0,3.25
2158,20,52.0,2.60
2159,219,762.0,3.48
2160,712,2719.0,3.82
2161,699,2520.0,3.61
2162,177,427.0,2.41
2163,206,537.0,2.61
2164,20,41.0,2.05
2165,109,368.0,3.38
2166,144,507.0,3.52
2167,809,2813.0,3.48
2168,79,243.0,3.08
2169,130,348.0,2.68
2170,123,314.0,2.55
2171,196,723.0,3.69
2172,4,13.0,3.25
2173,110,392.0,3.56
2174,1495,5334.0,3.57
2175,18,69.0,3.83
2176,191,744.0,3.90
2177,83,267.0,3.22
2178,95,348.0,3.66
2179,39,123.0,3.15
2180,58,193.0,3.33
2181,118,421.0,3.57
2182,98,351.0,3.58
2183,179,704.0,3.93
2184,147,529.0,3.60
2185,17,61.0,3.59
2186,482,2075.0,4.30
2187,26,93.0,3.58
2188,259,716.0,2.76
2189,21,78.0,3.71
2190,52,148.0,2.85
2191,10,28.0,2.80
2192,7,23.0,3.29
2193,802,2804.0,3.50
2194,1127,4517.0,4.01
2195,135,406.0,3.01
2196,27,66.0,2.44
2197,11,46.0,4.18
2198,2,8.0,4.00
2200,8,20.0,2.50
2201,20,68.0,3.40
2202,213,840.0,3.94
2203,233,995.0,4.27
2204,89,340.0,3.82
2205,33,116.0,3.52
2206,167,670.0,4.01
2207,8,23.0,2.88
2208,199,833.0,4.19
2209,10,33.0,3.30
2210,54,200.0,3.70
2211,19,67.0,3.53
2212,128,491.0,3.84
2213,1,1.0,1.00
2214,1,3.0,3.00
2215,12,42.0,3.50
2217,1,1.0,1.00
2218,1,2.0,2.00
2219,10,34.0,3.40
2221,11,34.0,3.09
2223,3,10.0,3.33
2226,1,3.0,3.00
2227,21,74.0,3.52
2231,345,1245.0,3.61
2232,233,808.0,3.47
2233,5,8.0,1.60
2234,8,15.0,1.88
2235,1,2.0,2.00
2236,202,729.0,3.61
2237,44,158.0,3.59
2238,77,295.0,3.83
2239,97,363.0,3.74
2240,238,835.0,3.51
2241,129,358.0,2.78
2242,6,15.0,2.50
2243,789,2957.0,3.75
2244,7,13.0,1.86
2245,514,1755.0,3.41
2246,14,38.0,2.71
2247,365,1129.0,3.09
2248,914,3672.0,4.02
2249,239,763.0,3.19
2250,62,195.0,3.15
2251,2,7.0,3.50
2252,186,561.0,3.02
2253,440,1128.0,2.56
2254,1,2.0,2.00
2255,79,206.0,2.61
2256,24,57.0,2.38
2257,17,50.0,2.94
2258,2,6.0,3.00
2259,201,546.0,2.72
2260,49,137.0,2.80
2261,161,536.0,3.33
2262,326,1029.0,3.16
2263,175,543.0,3.10
2264,83,215.0,2.59
2265,83,166.0,2.00
2266,195,560.0,2.87
2267,74,218.0,2.95
2268,1061,4171.0,3.93
2269,217,594.0,2.74
2271,76,250.0,3.29
2272,112,387.0,3.46
2273,627,2236.0,3.57
2275,71,239.0,3.37
2276,70,260.0,3.71
2277,1,2.0,2.00
2278,806,2843.0,3.53
2279,226,614.0,2.72
2280,125,429.0,3.43
2281,11,38.0,3.45
2282,316,1112.0,3.52
2283,61,178.0,2.92
2284,43,163.0,3.79
2285,54,210.0,3.89
2286,43,108.0,2.51
2287,280,963.0,3.44
2288,741,2805.0,3.79
2289,978,3876.0,3.96
2290,121,397.0,3.28
2291,1473,5292.0,3.59
2292,20,50.0,2.50
2293,25,81.0,3.24
2294,645,2247.0,3.48
2295,74,282.0,3.81
2296,144,343.0,2.38
2297,355,1103.0,3.11
2298,15,28.0,1.87
2299,4,15.0,3.75
2300,658,2727.0,4.14
2301,371,1332.0,3.59
2302,1086,4110.0,3.78
2303,325,1274.0,3.92
2304,7,25.0,3.57
2305,25,87.0,3.48
2306,90,224.0,2.49
2307,38,100.0,2.63
2308,1,2.0,2.00
2309,2,9.0,4.50
2310,134,509.0,3.80
2311,470,1606.0,3.42
2312,331,1267.0,3.83
2313,457,1834.0,4.01
2314,104,326.0,3.13
2315,147,348.0,2.37
2316,236,704.0,2.98
2317,8,21.0,2.63
2318,320,1249.0,3.90
2320,187,581.0,3.11
2321,1158,4281.0,3.70
2322,290,850.0,2.93
2323,35,138.0,3.94
2324,1152,4988.0,4.33
2325,119,373.0,3.13
2326,12,36.0,3.00
2327,100,285.0,2.85
2328,173,493.0,2.85
2329,640,2705.0,4.23
2330,92,383.0,4.16
2331,179,577.0,3.22
2332,8,26.0,3.25
2333,578,2204.0,3.81
2334,386,1206.0,3.12
2335,420,1229.0,2.93
2336,938,3780.0,4.03
2337,126,404.0,3.21
2338,295,650.0,2.20
2339,27,79.0,2.93
2340,344,1119.0,3.25
2341,44,144.0,3.27
2342,11,41.0,3.73
2343,2,4.0,2.00
2344,201,688.0,3.42
2345,43,145.0,3.37
2346,300,992.0,3.31
2347,95,355.0,3.74
2348,304,1080.0,3.55
2349,167,603.0,3.61
